cluster_id,accident_count,center_latitude,center_longitude,deaths,injuries,avg_severity,predominant_hour,predominant_day,predominant_cause,radius_km,density_score,risk_category,heat_intensity
337,13,-14.027715695384614,-56.09867317,0,18,5.846153846153846,5,0,Reação tardia ou ineficiente do condutor,4.624531311756508,0.5807125738620806,baixo,0.34008356012640184
338,21,-26.082771983333334,-53.712950768571424,4,24,17.325396825396826,2,1,Acessar a via sem observar a presença dos outros veículos,7.7006279643447195,0.34826060633468364,baixo,0.20395237193918161
339,12,-13.187625948333334,-60.81796528,0,14,7.5,16,5,Acessar a via sem observar a presença dos outros veículos,5.770170700983784,0.34990656120056124,baixo,0.20491629491207727
340,14,-31.53175174214286,-52.57970273357143,1,10,8.571428571428571,5,6,Ingestão de álcool pelo condutor,7.171136609546264,0.2670471438765384,baixo,0.15639121227757333
341,16,-18.957204701743752,-49.47927418366875,0,15,5.446428571428571,18,3,Ausência de reação do condutor,6.4425935948053095,0.3764084832461103,baixo,0.2204366545617777
342,11,-18.705093758181818,-44.960322374545456,2,19,14.378787878787877,16,4,Ausência de reação do condutor,4.967255832713148,0.42845518076354555,baixo,0.2509168387031928
343,44,-16.422381381363635,-39.1156277025,2,45,8.93939393939394,18,6,Acessar a via sem observar a presença dos outros veículos,12.452741627907374,0.2819233791043049,baixo,0.16510320382941837
344,17,-8.045331318823528,-48.466332861764705,2,26,11.774509803921568,13,6,Ausência de reação do condutor,6.798152763712538,0.3600559747347875,baixo,0.21086011091206375
345,10,-15.823186919,-58.055714135,1,6,9.0,13,5,Reação tardia ou ineficiente do condutor,3.9501971203578474,0.6022624365559905,baixo,0.3527038379627151
346,19,-2.9396347836842107,-44.33397955736842,1,15,12.052631578947368,6,4,Reação tardia ou ineficiente do condutor,8.437454812065173,0.2631920014104977,baixo,0.15413351951585783
347,10,-8.914570293,-35.640788486999995,1,12,10.1,4,0,Demais falhas mecânicas ou elétricas,4.770076870178665,0.42098822751631354,baixo,0.2465439558728321
348,24,-4.873538692916667,-43.388350730000006,3,32,15.715277777777779,21,5,Acessar a via sem observar a presença dos outros veículos,7.219163850623009,0.45183847397022936,baixo,0.2646108311516794
